step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
104,CASH_OUT,7423.23,C770501905,107321.3,99898.07,M468448392,412070.44,419493.67,0,0
105,CASH_OUT,750.29,C715601603,7856.15,7105.86,M576570914,239863.08,240613.37,0,0
106,PAYMENT,1460.55,C861991294,11585.46,10124.91,M576633345,0.0,0.0,0,0
106,PAYMENT,2433.22,C595633598,33307.13,30873.91,M155146220,0.0,0.0,0,0
106,PAYMENT,373.92,C725819776,112764.03,112390.11,M974464608,0.0,0.0,0,0
109,TRANSFER,3013.7,C407039512,110910.48,107896.78,C932682775,110872.06,113885.76,0,0
110,DEBIT,1308.6,C426103449,9212.63,7904.03,M387367847,0.0,0.0,0,0
114,CASH_OUT,1737.27,C853074673,96773.67,95036.4,M877303233,836161.03,837898.3,0,0
116,CASH_IN,4011.75,C319582541,145908.78,149920.53,C384780768,0.0,0.0,0,0
117,PAYMENT,2463.21,C699836017,113909.16,111445.95,M456357619,0.0,0.0,0,0
117,PAYMENT,1314.09,C166975143,59765.3,58451.21,M685609891,0.0,0.0,0,0
118,PAYMENT,2150.97,C839028355,143614.35,141463.38,M468453588,0.0,0.0,0,0
120,TRANSFER,2506.57,C288132030,25066.69,22560.12,C651371252,60538.24,63044.81,0,0
121,PAYMENT,124.2,C301565855,38870.06,38745.86,M688234874,0.0,0.0,0,0
129,DEBIT,805.31,C520542316,78849.87,78044.56,M984694415,0.0,0.0,0,0
132,PAYMENT,2104.76,C123194437,52846.45,50741.69,M303685685,0.0,0.0,0,0
135,CASH_IN,27290.37,C926518966,15716.22,43006.59,C595421312,0.0,0.0,0,0
141,CASH_IN,8251.01,C565622893,59697.93,67948.94,C995164445,0.0,0.0,0,0
142,PAYMENT,339.27,C323174252,153249.9,152910.63,M497792793,0.0,0.0,0,0
143,CASH_IN,10021.14,C826568108,49847.06,59868.2,C644090759,0.0,0.0,0,0
146,DEBIT,528.54,C503683443,31489.54,30961.0,M462673133,0.0,0.0,0,0
146,DEBIT,1122.68,C930650611,120202.37,119079.69,M171231319,0.0,0.0,0,0
152,PAYMENT,1903.18,C910962514,101850.62,99947.44,M214473628,0.0,0.0,0,0
154,PAYMENT,1668.17,C672610400,10790.16,9121.99,M932225509,0.0,0.0,0,0
158,CASH_IN,31822.64,C547450586,94128.25,125950.89,C471211595,0.0,0.0,0,0
161,PAYMENT,1172.27,C412009995,27659.47,26487.2,M465898120,0.0,0.0,0,0
161,CASH_IN,10426.5,C684224472,134667.81,145094.31,C920967829,0.0,0.0,0,0
162,PAYMENT,1876.21,C732562249,148779.33,146903.12,M954821098,0.0,0.0,0,0
163,PAYMENT,44.57,C616610449,87596.67,87552.1,M866771016,0.0,0.0,0,0
164,CASH_IN,4047.19,C115321408,10146.91,14194.1,C739385523,0.0,0.0,0,0
164,CASH_IN,15562.16,C124080597,71340.46,86902.62,C629267906,0.0,0.0,0,0
169,TRANSFER,8707.43,C326450077,133144.26,124436.83,C864442553,21633.41,30340.84,0,0
170,PAYMENT,960.38,C380984280,35256.45,34296.07,M770644483,0.0,0.0,0,0
170,TRANSFER,4013.13,C206156983,45400.85,41387.72,C929666701,64427.93,68441.06,0,0
172,CASH_OUT,7469.65,C933501485,69111.61,61641.96,M499644314,328077.39,335547.04,0,0
173,TRANSFER,3074.18,C802672529,56949.15,53874.97,C884630959,55564.59,58638.77,0,0
175,CASH_OUT,8357.18,C375331847,19156.3,10799.12,M207153742,122697.01,131054.19,0,0
175,CASH_OUT,7185.72,C986284279,77857.33,70671.61,M798677591,208040.39,215226.11,0,0
177,PAYMENT,230.83,C617712993,81339.63,81108.8,M358209119,0.0,0.0,0,0
180,CASH_IN,27994.67,C187961714,150227.86,178222.53,C553763588,0.0,0.0,0,0
183,PAYMENT,831.87,C409050863,20497.11,19665.24,M498445021,0.0,0.0,0,0
196,TRANSFER,2934.83,C535821535,173779.65,170844.82,C607199859,42731.68,45666.51,0,0
197,CASH_IN,3509.02,C499586220,178491.42,182000.44,C599476254,0.0,0.0,0,0
197,CASH_OUT,5063.64,C407059796,161499.54,156435.9,M682939216,397862.41,402926.05,0,0
198,PAYMENT,1751.51,C983954128,45101.89,43350.38,M539155415,0.0,0.0,0,0
201,PAYMENT,1249.69,C939502061,6515.21,5265.52,M973119914,0.0,0.0,0,0
203,CASH_IN,20396.65,C315062330,139660.46,160057.11,C860631365,0.0,0.0,0,0
203,PAYMENT,407.83,C142067229,127895.15,127487.32,M172502662,0.0,0.0,0,0
204,CASH_IN,33581.85,C146283844,176499.54,210081.39,C450797622,0.0,0.0,0,0
207,PAYMENT,1700.03,C362601650,94016.08,92316.05,M862815902,0.0,0.0,0,0
208,PAYMENT,1237.11,C704496204,119692.88,118455.77,M772903936,0.0,0.0,0,0
211,PAYMENT,407.54,C255698217,113181.21,112773.67,M302756821,0.0,0.0,0,0
216,CASH_IN,12848.67,C231011527,166687.92,179536.59,C125440037,0.0,0.0,0,0
221,CASH_IN,28037.02,C348476164,161150.78,189187.8,C499073170,0.0,0.0,0,0
222,TRANSFER,3215.7,C535845459,161686.51,158470.81,C237238212,74172.02,77387.72,0,0
224,PAYMENT,139.97,C999612723,3569.18,3429.21,M394921362,0.0,0.0,0,0
226,PAYMENT,2223.01,C681203326,117362.64,115139.63,M197324933,0.0,0.0,0,0
233,CASH_IN,20812.51,C298649893,104866.83,125679.34,C531177556,0.0,0.0,0,0
237,PAYMENT,414.16,C171581322,178589.32,178175.16,M520282426,0.0,0.0,0,0
239,CASH_OUT,8652.34,C147822486,143732.58,135080.24,M611326303,802353.45,811005.79,0,0
246,CASH_OUT,1960.79,C345249717,50905.31,48944.52,M980586569,504418.26,506379.05,0,0
248,CASH_OUT,2267.74,C395870053,49611.29,47343.55,M663913124,775387.59,777655.33,0,0
250,CASH_OUT,8571.38,C754215314,35784.81,27213.43,M382953251,428385.36,436956.74,0,0
253,PAYMENT,1215.74,C300501030,109678.5,108462.76,M971529156,0.0,0.0,0,0
253,PAYMENT,1364.32,C322776110,63947.04,62582.72,M287374847,0.0,0.0,0,0
255,TRANSFER,5784.23,C772717157,153931.08,148146.85,C281081389,110687.55,116471.78,0,0
258,TRANSFER,7608.29,C772120293,115717.42,108109.13,C339405735,58443.68,66051.97,0,0
264,PAYMENT,663.42,C633381477,43794.19,43130.77,M243813215,0.0,0.0,0,0
265,CASH_OUT,11399.72,C265398863,51353.69,39953.97,M739599138,826060.61,837460.33,0,0
266,PAYMENT,1685.71,C835457117,53106.37,51420.66,M487938858,0.0,0.0,0,0
284,TRANSFER,8868.84,C345795185,22165.91,13297.07,C432859519,79451.65,88320.49,0,0
288,CASH_IN,33889.24,C653488174,152094.83,185984.07,C504470779,0.0,0.0,0,0
289,PAYMENT,1452.98,C237442919,145461.22,144008.24,M238462862,0.0,0.0,0,0
289,PAYMENT,578.09,C972712255,148886.22,148308.13,M474371016,0.0,0.0,0,0
289,CASH_IN,10170.37,C875562627,31573.36,41743.73,C356665394,0.0,0.0,0,0
294,PAYMENT,517.64,C573893330,98839.29,98321.65,M790325036,0.0,0.0,0,0
306,PAYMENT,536.31,C450263831,112527.84,111991.53,M806112502,0.0,0.0,0,0
308,PAYMENT,1842.05,C659723461,14426.11,12584.06,M177060077,0.0,0.0,0,0
309,DEBIT,539.24,C298347602,5733.56,5194.32,M764344815,0.0,0.0,0,0
309,CASH_OUT,6985.99,C576513177,50769.62,43783.63,M276840024,290046.18,297032.17,0,0
310,PAYMENT,2341.73,C432733493,44156.65,41814.92,M365040944,0.0,0.0,0,0
310,PAYMENT,2441.16,C705592532,67988.95,65547.79,M913453188,0.0,0.0,0,0
315,CASH_OUT,7036.59,C373064000,16429.31,9392.72,M145177424,625946.79,632983.38,0,0
315,PAYMENT,2113.15,C545467425,77019.61,74906.46,M833778182,0.0,0.0,0,0
318,PAYMENT,1125.3,C304322191,124569.64,123444.34,M116763371,0.0,0.0,0,0
321,CASH_OUT,9789.39,C580937974,177732.65,167943.26,M233657581,538688.84,548478.23,0,0
323,PAYMENT,1773.58,C976554589,80723.19,78949.61,M977580020,0.0,0.0,0,0
326,CASH_OUT,198.65,C233803425,125458.9,125260.25,M149770960,883571.39,883770.04,0,0
330,CASH_OUT,174.26,C710044394,137759.52,137585.26,M914464094,338527.55,338701.81,0,0
332,PAYMENT,405.45,C908150206,77548.68,77143.23,M945690958,0.0,0.0,0,0
333,CASH_OUT,6009.37,C782789191,168041.25,162031.88,M741338057,778647.83,784657.2,0,0
333,CASH_IN,22358.95,C931834028,83705.29,106064.24,C291151768,0.0,0.0,0,0
337,CASH_IN,25203.21,C270903463,72812.18,98015.39,C185550674,0.0,0.0,0,0
340,CASH_OUT,4896.45,C953343424,170658.22,165761.77,M563444955,737835.7,742732.15,0,0
341,PAYMENT,1670.53,C790865132,118138.73,116468.2,M299707292,0.0,0.0,0,0
342,CASH_IN,38306.69,C779139039,141776.85,180083.54,C424199117,0.0,0.0,0,0
342,CASH_OUT,7201.47,C227635802,77533.63,70332.16,M519900081,677857.32,685058.79,0,0
344,CASH_OUT,9584.19,C587789890,133989.72,124405.53,M779174322,781796.41,791380.6,0,0
347,TRANSFER,1466.69,C995808364,7365.06,5898.37,C407180919,52923.96,54390.65,0,0
353,CASH_OUT,10872.62,C444973375,114485.01,103612.39,M309268340,313547.73,324420.35,0,0
354,TRANSFER,2854.63,C847976857,155030.62,152175.99,C429066197,55901.56,58756.19,0,0
356,PAYMENT,1954.27,C425936291,140228.61,138274.34,M239288528,0.0,0.0,0,0
358,PAYMENT,1671.07,C465626354,163665.87,161994.8,M946437447,0.0,0.0,0,0
360,TRANSFER,5011.62,C895428058,108624.89,103613.27,C732022243,15305.13,20316.75,0,0
361,TRANSFER,5174.09,C480581481,172515.21,167341.12,C109842675,113289.29,118463.38,0,0
361,PAYMENT,596.51,C230169899,93999.75,93403.24,M722420798,0.0,0.0,0,0
371,PAYMENT,1373.04,C754226092,145090.23,143717.19,M792845770,0.0,0.0,0,0
371,CASH_OUT,6260.69,C901291243,96385.17,90124.48,M656580864,251540.09,257800.78,0,0
373,CASH_IN,10623.66,C137562698,164224.84,174848.5,C191124604,0.0,0.0,0,0
373,PAYMENT,1627.02,C549532094,62456.89,60829.87,M258271233,0.0,0.0,0,0
376,CASH_IN,1942.9,C523987534,125500.92,127443.82,C448554903,0.0,0.0,0,0
378,CASH_OUT,5836.27,C181923784,160530.78,154694.51,M983398199,668177.93,674014.2,0,0
387,TRANSFER,1789.09,C663972182,57619.05,55829.96,C331029454,4254.5,6043.59,0,0
392,CASH_OUT,2616.12,C290648158,6126.3,3510.18,M210407245,236347.39,238963.51,0,0
397,TRANSFER,830.72,C935848642,140417.75,139587.03,C641151149,61982.04,62812.76,0,0
398,PAYMENT,301.58,C339809906,72607.87,72306.29,M639576385,0.0,0.0,0,0
399,TRANSFER,5131.84,C938097174,139984.76,134852.92,C125027511,25786.65,30918.49,0,0
399,PAYMENT,2319.18,C606120592,51277.57,48958.39,M836816341,0.0,0.0,0,0
399,CASH_OUT,5325.86,C761590298,166959.98,161634.12,M305645680,201691.46,207017.32,0,0
405,TRANSFER,2096.29,C808073162,87146.95,85050.66,C798408712,113769.6,115865.89,0,0
417,TRANSFER,471.1,C472673494,173986.55,173515.45,C112945283,87448.63,87919.73,0,0
424,CASH_IN,31768.14,C898132956,85208.56,116976.7,C696046360,0.0,0.0,0,0
427,CASH_OUT,672.83,C417000134,119060.87,118388.04,M197789451,625988.65,626661.48,0,0
428,CASH_OUT,11018.32,C707409327,107384.13,96365.81,M701101810,624249.49,635267.81,0,0
429,PAYMENT,924.78,C494034762,124553.55,123628.77,M869112705,0.0,0.0,0,0
431,PAYMENT,947.06,C400922554,143253.9,142306.84,M597653271,0.0,0.0,0,0
439,PAYMENT,2345.23,C537113152,106062.81,103717.58,M877552844,0.0,0.0,0,0
441,CASH_OUT,2729.04,C763889816,114592.42,111863.38,M593283361,889710.32,892439.36,0,0
445,PAYMENT,975.61,C293790165,60831.94,59856.33,M979403600,0.0,0.0,0,0
447,CASH_OUT,10629.55,C157119178,50926.08,40296.53,M723015562,786593.06,797222.61,0,0
447,CASH_OUT,1063.81,C425476085,9215.17,8151.36,M914426018,721268.85,722332.66,0,0
448,TRANSFER,5749.94,C261101799,103532.19,97782.25,C615585620,15851.14,21601.08,0,0
451,CASH_IN,13693.9,C835868760,142056.81,155750.71,C276454269,0.0,0.0,0,0
452,PAYMENT,2322.92,C781334970,45054.25,42731.33,M435477854,0.0,0.0,0,0
455,TRANSFER,1782.41,C467633476,114770.36,112987.95,C791271580,26543.02,28325.43,0,0
455,CASH_IN,31936.4,C946004617,49973.09,81909.49,C728652324,0.0,0.0,0,0
456,PAYMENT,2289.57,C505527980,5947.91,3658.34,M712754154,0.0,0.0,0,0
460,TRANSFER,7769.85,C401783074,77219.79,69449.94,C706643390,69998.85,77768.7,0,0
461,CASH_IN,15435.11,C952898844,89289.24,104724.35,C698551253,0.0,0.0,0,0
463,PAYMENT,1799.52,C297326082,61459.71,59660.19,M878042303,0.0,0.0,0,0
466,TRANSFER,5438.66,C440462096,46987.24,41548.58,C705303753,84619.92,90058.58,0,0
466,CASH_IN,17187.03,C981314622,63066.57,80253.6,C541568135,0.0,0.0,0,0
467,PAYMENT,2349.65,C541574419,129349.95,127000.3,M587504575,0.0,0.0,0,0
470,CASH_OUT,831.64,C928464792,123968.97,123137.33,M386783575,754986.69,755818.33,0,0
471,CASH_OUT,2020.25,C686995825,126323.7,124303.45,M949708861,865523.37,867543.62,0,0
475,PAYMENT,493.03,C611663612,95944.79,95451.76,M893400841,0.0,0.0,0,0
477,CASH_IN,21451.14,C698574119,3193.45,24644.59,C548950189,0.0,0.0,0,0
479,DEBIT,1616.96,C603798937,144116.6,142499.64,M123959732,0.0,0.0,0,0
480,PAYMENT,358.32,C516928680,20847.77,20489.45,M687204040,0.0,0.0,0,0
484,PAYMENT,2029.09,C117639873,5701.15,3672.06,M862723747,0.0,0.0,0,0
491,CASH_IN,38688.47,C718368222,141868.12,180556.59,C786665039,0.0,0.0,0,0
491,DEBIT,356.11,C654923813,47962.05,47605.94,M322819928,0.0,0.0,0,0
499,CASH_OUT,3482.54,C382181823,147293.39,143810.85,M780768687,346083.3,349565.84,0,0
500,PAYMENT,2215.7,C301481843,88254.35,86038.65,M742474494,0.0,0.0,0,0
500,CASH_OUT,6431.82,C225787498,145881.58,139449.76,M635270237,130809.89,137241.71,0,0
503,PAYMENT,2041.55,C485309090,160958.4,158916.85,M775121748,0.0,0.0,0,0
509,DEBIT,1013.71,C544428587,58498.87,57485.16,M906856483,0.0,0.0,0,0
513,CASH_OUT,7010.46,C403792154,68580.18,61569.72,M634189837,419351.53,426361.99,0,0
514,PAYMENT,456.64,C628601913,10285.95,9829.31,M360548893,0.0,0.0,0,0
517,PAYMENT,1278.43,C524550689,31522.48,30244.05,M877927687,0.0,0.0,0,0
520,PAYMENT,2176.51,C460350957,7755.53,5579.02,M733343639,0.0,0.0,0,0
521,CASH_OUT,3538.44,C474553040,43406.99,39868.55,M486686349,262213.56,265752.0,0,0
523,PAYMENT,805.2,C761467581,146894.44,146089.24,M710009874,0.0,0.0,0,0
523,TRANSFER,8201.68,C345984863,77194.43,68992.75,C609675306,62256.62,70458.3,0,0
524,CASH_OUT,5467.18,C367939592,65199.11,59731.93,M855180349,104085.18,109552.36,0,0
527,PAYMENT,584.98,C338693286,53893.11,53308.13,M509539202,0.0,0.0,0,0
527,DEBIT,1470.23,C905012548,156222.49,154752.26,M637969762,0.0,0.0,0,0
530,TRANSFER,2942.46,C451144467,64137.71,61195.25,C185664474,111342.86,114285.32,0,0
533,PAYMENT,2389.46,C806472261,134609.06,132219.6,M414537252,0.0,0.0,0,0
536,CASH_OUT,11094.53,C300574946,131973.35,120878.82,M647223530,643640.53,654735.06,0,0
538,PAYMENT,1483.05,C897706326,67870.27,66387.22,M619388363,0.0,0.0,0,0
543,CASH_OUT,441.72,C307813820,128169.65,127727.93,M265049120,661651.56,662093.28,0,0
544,CASH_OUT,3883.33,C870423748,42254.24,38370.91,M256634925,814189.85,818073.18,0,0
548,PAYMENT,1837.07,C802429216,179683.76,177846.69,M488287151,0.0,0.0,0,0
548,PAYMENT,65.93,C803700455,157950.36,157884.43,M884463925,0.0,0.0,0,0
549,PAYMENT,389.15,C186684402,2549.25,2160.1,M768274727,0.0,0.0,0,0
550,DEBIT,336.58,C759644822,19560.08,19223.5,M225690468,0.0,0.0,0,0
550,PAYMENT,1548.34,C763596799,93841.78,92293.44,M153093095,0.0,0.0,0,0
550,CASH_OUT,7695.89,C193150580,16117.36,8421.47,M405091738,87275.07,94970.96,0,0
554,PAYMENT,1861.3,C434016304,162178.11,160316.81,M107201742,0.0,0.0,0,0
558,PAYMENT,213.41,C286737370,35405.6,35192.19,M422448390,0.0,0.0,0,0
560,CASH_IN,14370.76,C924153553,160869.0,175239.76,C216736860,0.0,0.0,0,0
564,PAYMENT,1049.15,C141485729,38526.02,37476.87,M684199267,0.0,0.0,0,0
565,PAYMENT,308.24,C621333028,166567.05,166258.81,M198088369,0.0,0.0,0,0
566,PAYMENT,1557.54,C616513164,96363.27,94805.73,M818079530,0.0,0.0,0,0
566,PAYMENT,6.01,C512992565,76766.06,76760.05,M326683379,0.0,0.0,0,0
570,CASH_IN,10302.82,C729242026,61275.16,71577.98,C641534645,0.0,0.0,0,0
576,DEBIT,1095.23,C246887081,147895.71,146800.48,M504356832,0.0,0.0,0,0
578,CASH_OUT,7277.64,C411125626,43670.69,36393.05,M306055683,838586.73,845864.37,0,0
579,PAYMENT,2054.54,C614051404,131303.18,129248.64,M453879842,0.0,0.0,0,0
579,PAYMENT,456.03,C288704878,81840.66,81384.63,M821089430,0.0,0.0,0,0
580,CASH_IN,21295.52,C876255234,29713.42,51008.94,C424597810,0.0,0.0,0,0
580,TRANSFER,4155.41,C845148054,80071.02,75915.61,C576904428,18875.98,23031.39,0,0
581,CASH_OUT,9593.33,C598073353,98540.7,88947.37,M777601952,424993.65,434586.98,0,0
581,CASH_OUT,6122.05,C862319233,18097.83,11975.78,M305354206,178545.69,184667.74,0,0
583,PAYMENT,2117.69,C197596048,88859.05,86741.36,M764866574,0.0,0.0,0,0
585,TRANSFER,643.53,C439075493,41943.4,41299.87,C337538344,23307.59,23951.12,0,0
586,PAYMENT,1467.26,C832653873,146187.69,144720.43,M300877361,0.0,0.0,0,0
589,TRANSFER,5410.2,C434235816,156172.49,150762.29,C102375535,87337.53,92747.73,0,0
590,PAYMENT,2257.79,C468733349,129969.45,127711.66,M995751667,0.0,0.0,0,0
592,PAYMENT,2490.63,C103092263,135047.55,132556.92,M667593969,0.0,0.0,0,0
595,CASH_IN,25181.57,C234599175,10231.23,35412.8,C415647775,0.0,0.0,0,0
596,PAYMENT,1329.77,C281074290,29705.53,28375.76,M343496164,0.0,0.0,0,0
599,PAYMENT,2068.28,C560649096,78096.34,76028.06,M144005361,0.0,0.0,0,0
603,CASH_OUT,11647.2,C145570851,163975.42,152328.22,M786429489,262409.57,274056.77,0,0
605,PAYMENT,1311.82,C136770303,170986.68,169674.86,M861268929,0.0,0.0,0,0
607,CASH_IN,38600.02,C492581760,86923.42,125523.44,C665392742,0.0,0.0,0,0
607,CASH_OUT,7690.94,C842519340,68207.96,60517.02,M453652804,113555.95,121246.89,0,0
608,CASH_OUT,720.19,C669678739,56985.86,56265.67,M646204051,193341.94,194062.13,0,0
609,PAYMENT,1065.6,C742056184,64464.05,63398.45,M933634201,0.0,0.0,0,0
610,PAYMENT,652.31,C470722591,51594.02,50941.71,M425946174,0.0,0.0,0,0
612,PAYMENT,1610.11,C578067413,8227.28,6617.17,M129533115,0.0,0.0,0,0
615,CASH_OUT,11665.27,C869890340,68301.4,56636.13,M805980766,897899.12,909564.39,0,0
621,PAYMENT,447.58,C742210923,14344.84,13897.26,M932727381,0.0,0.0,0,0
623,PAYMENT,158.81,C675637035,161290.43,161131.62,M121940681,0.0,0.0,0,0
624,CASH_OUT,1034.82,C159937678,174491.74,173456.92,M253859406,79973.73,81008.55,0,0
625,PAYMENT,344.2,C817197860,117906.05,117561.85,M122942652,0.0,0.0,0,0
628,CASH_OUT,11141.42,C869717399,173196.3,162054.88,M957451607,221103.05,232244.47,0,0
628,PAYMENT,362.92,C909454295,147498.01,147135.09,M419070912,0.0,0.0,0,0
629,CASH_IN,2415.8,C391187247,36935.78,39351.58,C219791625,0.0,0.0,0,0
631,PAYMENT,1310.55,C617122872,127102.23,125791.68,M414626674,0.0,0.0,0,0
634,CASH_OUT,7065.64,C310605113,38062.22,30996.58,M266389788,102751.1,109816.74,0,0
639,PAYMENT,879.65,C288214848,154683.66,153804.01,M299919557,0.0,0.0,0,0
645,PAYMENT,1667.57,C890090504,75426.04,73758.47,M209678195,0.0,0.0,0,0
646,TRANSFER,4106.23,C385876606,157433.36,153327.13,C286026750,103271.59,107377.82,0,0
648,TRANSFER,5730.29,C912341258,138543.61,132813.32,C631740969,105161.48,110891.77,0,0
648,CASH_IN,39916.77,C610137090,16967.62,56884.39,C956006300,0.0,0.0,0,0
650,CASH_IN,5601.29,C475794052,67548.28,73149.57,C203071263,0.0,0.0,0,0
654,PAYMENT,120.71,C535059461,115714.56,115593.85,M318788959,0.0,0.0,0,0
655,CASH_OUT,2591.45,C663823733,47973.31,45381.86,M160675872,76672.58,79264.03,0,0
655,TRANSFER,7712.83,C736722505,121894.73,114181.9,C113964993,47697.68,55410.51,0,0
656,PAYMENT,1664.8,C284956151,162831.2,161166.4,M407235240,0.0,0.0,0,0
658,PAYMENT,1488.98,C161976842,83693.28,82204.3,M178987043,0.0,0.0,0,0
658,PAYMENT,1657.21,C160216498,96057.32,94400.11,M391248122,0.0,0.0,0,0
658,CASH_OUT,6219.99,C383725649,22207.52,15987.53,M980388763,453425.09,459645.08,0,0
661,PAYMENT,426.08,C202570928,80130.43,79704.35,M163037551,0.0,0.0,0,0
662,PAYMENT,458.67,C185571655,95712.57,95253.9,M958139857,0.0,0.0,0,0
663,DEBIT,615.98,C737963318,142147.92,141531.94,M113695792,0.0,0.0,0,0
665,TRANSFER,400.68,C717158752,12915.2,12514.52,C418304635,64822.25,65222.93,0,0
668,TRANSFER,3274.7,C330766818,15475.0,12200.3,C543464163,71445.42,74720.12,0,0
674,PAYMENT,2131.78,C943296057,14043.68,11911.9,M169201686,0.0,0.0,0,0
678,PAYMENT,2478.56,C200443654,109334.0,106855.44,M667799973,0.0,0.0,0,0
678,CASH_OUT,2668.35,C931973097,5793.8,3125.45,M435354291,335281.4,337949.75,0,0
679,TRANSFER,5745.76,C155150132,108238.72,102492.96,C819088389,103213.66,108959.42,0,0
681,CASH_OUT,5120.88,C541162625,66314.96,61194.08,M641944002,288177.23,293298.11,0,0
681,PAYMENT,1697.68,C448870582,113895.53,112197.85,M476252538,0.0,0.0,0,0
681,PAYMENT,687.11,C786371550,3027.94,2340.83,M569886635,0.0,0.0,0,0
684,TRANSFER,7487.01,C176079346,177597.2,170110.19,C911267127,68717.34,76204.35,0,0
684,TRANSFER,5206.03,C846433176,48685.69,43479.66,C888337331,108609.4,113815.43,0,0
688,PAYMENT,2042.09,C122955719,23896.76,21854.67,M767896739,0.0,0.0,0,0
689,PAYMENT,1391.53,C573418594,29612.64,28221.11,M326682880,0.0,0.0,0,0
691,PAYMENT,2006.88,C257361774,89221.56,87214.68,M725763756,0.0,0.0,0,0
695,CASH_OUT,570.05,C346910511,169102.08,168532.03,M359286289,333100.9,333670.95,0,0
696,CASH_OUT,10332.67,C906399273,57489.51,47156.84,M881145236,829771.55,840104.22,0,0
701,CASH_OUT,2316.27,C530705917,50416.72,48100.45,M909876575,526379.25,528695.52,0,0
702,TRANSFER,8798.62,C446389405,135471.31,126672.69,C304388332,47888.71,56687.33,0,0
704,TRANSFER,403.44,C437565010,76840.53,76437.09,C917032115,33950.2,34353.64,0,0
706,PAYMENT,148.07,C657977740,97849.73,97701.66,M655872404,0.0,0.0,0,0
707,CASH_IN,27209.32,C532977537,20013.22,47222.54,C944842920,0.0,0.0,0,0
707,PAYMENT,2482.76,C251282699,138863.17,136380.41,M779348651,0.0,0.0,0,0
708,TRANSFER,2284.34,C187467740,154233.51,151949.17,C331751618,23405.69,25690.03,0,0
715,CASH_OUT,10077.15,C720236203,173965.1,163887.95,M172389321,179446.79,189523.94,0,0
