step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,typology,note
208,TRANSFER,9804.76,C347896204,69036.64,59231.88,C450665436,37868.2,47672.96,1,0,SMURFING,"Tranche 5 of 10, held below the 10,000 threshold"
209,TRANSFER,9782.05,C347896204,59231.88,49449.83,C450665436,47672.96,57455.01,1,0,SMURFING,"Tranche 6 of 10, held below the 10,000 threshold"
210,CASH_OUT,6067.35,C553709716,53548.12,47480.77,M334895202,553497.88,559565.23,0,0,,
210,TRANSFER,9734.22,C347896204,49449.83,39715.61,C450665436,57455.01,67189.23,1,0,SMURFING,"Tranche 7 of 10, held below the 10,000 threshold"
211,TRANSFER,8885.36,C347896204,39715.61,30830.25,C450665436,67189.23,76074.59,1,0,SMURFING,"Tranche 8 of 10, held below the 10,000 threshold"
212,TRANSFER,9205.93,C347896204,30830.25,21624.32,C450665436,76074.59,85280.52,1,0,SMURFING,"Tranche 9 of 10, held below the 10,000 threshold"
213,CASH_IN,29439.54,C848367333,168127.64,197567.18,C394080444,0.0,0.0,0,0,,
213,TRANSFER,9640.53,C347896204,21624.32,11983.79,C450665436,85280.52,94921.05,1,0,SMURFING,"Tranche 10 of 10, held below the 10,000 threshold"
213,TRANSFER,8886.35,C683665763,129993.26,121106.91,C742413018,7654.27,16540.62,0,0,,
214,TRANSFER,23195.3,C432594945,23195.3,0.0,C508254083,136888.02,160083.32,1,0,MULE_NETWORK,Spoke 6 of 7 converging on sink C508254083
214,CASH_IN,35758.76,C664653972,104014.28,139773.04,C251713443,0.0,0.0,0,0,,
215,TRANSFER,41874.57,C934677297,41874.57,0.0,C508254083,41202.38,83076.95,1,0,MULE_NETWORK,Spoke 3 of 7 converging on sink C508254083
216,TRANSFER,22103.36,C594313030,22103.36,0.0,C508254083,114784.66,136888.02,1,0,MULE_NETWORK,Spoke 5 of 7 converging on sink C508254083
216,TRANSFER,33891.05,C651847105,33891.05,0.0,C508254083,160083.32,193974.37,1,0,MULE_NETWORK,Spoke 7 of 7 converging on sink C508254083
216,TRANSFER,10084.56,C420516449,10084.56,0.0,C508254083,31117.82,41202.38,1,0,MULE_NETWORK,Spoke 2 of 7 converging on sink C508254083
216,TRANSFER,31707.71,C513488034,31707.71,0.0,C508254083,83076.95,114784.66,1,0,MULE_NETWORK,Spoke 4 of 7 converging on sink C508254083
216,TRANSFER,31117.82,C647880131,31117.82,0.0,C508254083,0.0,31117.82,1,0,MULE_NETWORK,Spoke 1 of 7 converging on sink C508254083
217,CASH_OUT,193974.37,C508254083,193974.37,0.0,M673456643,0.0,193974.37,1,0,MULE_NETWORK,Sink account emptied after receiving from 7 spokes
220,PAYMENT,2226.46,C831923794,7777.44,5550.98,M652578744,0.0,0.0,0,0,,
223,PAYMENT,1703.58,C594890377,100771.59,99068.01,M786343887,0.0,0.0,0,0,,
225,PAYMENT,343.68,C604940038,97106.3,96762.62,M500872164,0.0,0.0,0,0,,
225,CASH_OUT,11023.56,C906985824,138692.97,127669.41,M760482333,587878.17,598901.73,0,0,,
229,PAYMENT,1541.8,C585297571,4927.04,3385.24,M685338969,0.0,0.0,0,0,,
233,CASH_IN,31540.8,C517196403,134928.11,166468.91,C986476595,0.0,0.0,0,0,,
233,PAYMENT,1093.27,C590172221,103184.31,102091.04,M635085723,0.0,0.0,0,0,,
241,PAYMENT,113.62,C773820085,173301.45,173187.83,M386891862,0.0,0.0,0,0,,
248,CASH_IN,13593.8,C999937561,81025.06,94618.86,C248155084,0.0,0.0,0,0,,
252,PAYMENT,147.44,C647640450,121135.08,120987.64,M738804031,0.0,0.0,0,0,,
257,PAYMENT,2106.13,C268102512,42417.75,40311.62,M516020422,0.0,0.0,0,0,,
258,CASH_IN,34105.26,C484938643,96733.9,130839.16,C228198159,0.0,0.0,0,0,,
259,TRANSFER,363770.99,C390123051,363770.99,0.0,C669792970,0.0,363770.99,1,0,ACCOUNT_TAKEOVER,Entire balance moved in a single transfer
267,CASH_OUT,1790.45,C398096744,4441.71,2651.26,M416687158,288767.48,290557.93,0,0,,
270,TRANSFER,2370.48,C385810145,177270.9,174900.42,C424087352,24614.04,26984.52,0,0,,
273,DEBIT,676.22,C541470203,150173.0,149496.78,M332350413,0.0,0.0,0,0,,
273,TRANSFER,8945.53,C981770560,110352.61,101407.08,C550582045,104888.08,113833.61,0,0,,
274,CASH_OUT,5532.12,C705895969,24396.32,18864.2,M616792724,288796.89,294329.01,0,0,,
276,PAYMENT,2305.11,C257538880,121963.32,119658.21,M445110123,0.0,0.0,0,0,,
278,PAYMENT,1045.77,C162883523,162673.44,161627.67,M274188941,0.0,0.0,0,0,,
279,CASH_OUT,7043.33,C983884541,136482.0,129438.67,M870160072,73154.63,80197.96,0,0,,
279,CASH_OUT,6529.74,C916164936,45309.63,38779.89,M799861015,663625.09,670154.83,0,0,,
280,CASH_OUT,782.07,C501449544,73751.4,72969.33,M671647955,231393.37,232175.44,0,0,,
280,PAYMENT,1931.0,C485384003,87438.44,85507.44,M920136772,0.0,0.0,0,0,,
283,CASH_OUT,2278.59,C556345503,22381.77,20103.18,M333650431,271916.69,274195.28,0,0,,
284,PAYMENT,274.2,C193563288,61387.31,61113.11,M210273771,0.0,0.0,0,0,,
293,PAYMENT,2386.13,C861852951,131437.07,129050.94,M648936433,0.0,0.0,0,0,,
295,PAYMENT,205.16,C158495883,38118.87,37913.71,M109746073,0.0,0.0,0,0,,
299,PAYMENT,2220.37,C242059515,172273.5,170053.13,M656937216,0.0,0.0,0,0,,
301,TRANSFER,1125.31,C370638230,170256.61,169131.3,C151501792,86632.74,87758.05,0,0,,
302,PAYMENT,408.01,C591012217,100780.69,100372.68,M245692873,0.0,0.0,0,0,,
304,CASH_OUT,900.66,C997095626,95882.11,94981.45,M806620709,533873.58,534774.24,0,0,,
306,PAYMENT,1510.89,C519801529,179169.12,177658.23,M256949491,0.0,0.0,0,0,,
307,PAYMENT,2138.99,C768883601,118631.06,116492.07,M529198645,0.0,0.0,0,0,,
308,PAYMENT,919.48,C662923772,179190.32,178270.84,M823904839,0.0,0.0,0,0,,
308,CASH_OUT,1695.56,C186861535,162296.02,160600.46,M194469719,860617.52,862313.08,0,0,,
310,CASH_IN,20114.77,C291686229,125759.26,145874.03,C954839103,0.0,0.0,0,0,,
311,TRANSFER,9538.49,C349397198,118444.77,108906.28,C148097854,4377.8,13916.29,1,0,SMURFING,"Tranche 1 of 8, held below the 10,000 threshold"
312,PAYMENT,327.96,C159535863,30984.38,30656.42,M518543523,0.0,0.0,0,0,,
312,PAYMENT,431.51,C856362625,10374.48,9942.97,M430803970,0.0,0.0,0,0,,
312,TRANSFER,9564.72,C349397198,108906.28,99341.56,C148097854,13916.29,23481.01,1,0,SMURFING,"Tranche 2 of 8, held below the 10,000 threshold"
313,TRANSFER,8875.67,C349397198,99341.56,90465.89,C148097854,23481.01,32356.68,1,0,SMURFING,"Tranche 3 of 8, held below the 10,000 threshold"
314,TRANSFER,9785.01,C349397198,90465.89,80680.88,C148097854,32356.68,42141.69,1,0,SMURFING,"Tranche 4 of 8, held below the 10,000 threshold"
315,TRANSFER,9391.37,C349397198,80680.88,71289.51,C148097854,42141.69,51533.06,1,0,SMURFING,"Tranche 5 of 8, held below the 10,000 threshold"
315,CASH_OUT,3478.28,C277256069,59226.71,55748.43,M587362953,595299.91,598778.19,0,0,,
316,TRANSFER,9302.74,C349397198,71289.51,61986.77,C148097854,51533.06,60835.8,1,0,SMURFING,"Tranche 6 of 8, held below the 10,000 threshold"
317,TRANSFER,9767.25,C349397198,61986.77,52219.52,C148097854,60835.8,70603.05,1,0,SMURFING,"Tranche 7 of 8, held below the 10,000 threshold"
318,TRANSFER,9427.67,C349397198,52219.52,42791.85,C148097854,70603.05,80030.72,1,0,SMURFING,"Tranche 8 of 8, held below the 10,000 threshold"
318,CASH_OUT,811.45,C592397979,84629.07,83817.62,M673892505,607154.67,607966.12,0,0,,
320,TRANSFER,3739.7,C902851272,33375.35,29635.65,C698430747,69740.71,73480.41,0,0,,
320,CASH_IN,12667.26,C210278392,158016.55,170683.81,C930646260,0.0,0.0,0,0,,
321,CASH_IN,32401.5,C987666941,61000.81,93402.31,C152532328,0.0,0.0,0,0,,
322,TRANSFER,1095.48,C529811114,165297.99,164202.51,C582266248,59093.13,60188.61,0,0,,
323,PAYMENT,1634.3,C906606902,36703.0,35068.7,M954371705,0.0,0.0,0,0,,
326,TRANSFER,886.14,C564330602,67891.36,67005.22,C769244072,105508.95,106395.09,0,0,,
327,PAYMENT,2415.33,C325081423,70815.16,68399.83,M387619029,0.0,0.0,0,0,,
331,CASH_IN,28482.96,C195221708,58771.93,87254.89,C541994776,0.0,0.0,0,0,,
334,CASH_OUT,7106.62,C982139614,84759.15,77652.53,M540867608,58939.69,66046.31,0,0,,
338,PAYMENT,975.61,C180145540,114549.14,113573.53,M539515577,0.0,0.0,0,0,,
338,TRANSFER,1273.34,C755652804,83327.88,82054.54,C505310688,111038.85,112312.19,0,0,,
339,CASH_OUT,48621.58,C815560551,48621.58,0.0,M624565773,0.0,48621.58,1,0,ACCOUNT_TAKEOVER,Remaining balance withdrawn immediately after
339,TRANSFER,72932.38,C815560551,121553.96,48621.58,C454490688,0.0,72932.38,1,0,ACCOUNT_TAKEOVER,First of two withdrawals draining the account
342,CASH_OUT,4162.49,C593819575,137551.82,133389.33,M719287342,318304.4,322466.89,0,0,,
346,TRANSFER,8949.52,C527822364,115279.38,106329.86,C149504082,3501.63,12451.15,1,0,SMURFING,"Tranche 1 of 9, held below the 10,000 threshold"
347,TRANSFER,8712.36,C527822364,106329.86,97617.5,C149504082,12451.15,21163.51,1,0,SMURFING,"Tranche 2 of 9, held below the 10,000 threshold"
348,TRANSFER,8944.26,C527822364,97617.5,88673.24,C149504082,21163.51,30107.77,1,0,SMURFING,"Tranche 3 of 9, held below the 10,000 threshold"
349,TRANSFER,9396.09,C527822364,88673.24,79277.15,C149504082,30107.77,39503.86,1,0,SMURFING,"Tranche 4 of 9, held below the 10,000 threshold"
350,TRANSFER,9135.85,C527822364,79277.15,70141.3,C149504082,39503.86,48639.71,1,0,SMURFING,"Tranche 5 of 9, held below the 10,000 threshold"
351,TRANSFER,9866.32,C527822364,70141.3,60274.98,C149504082,48639.71,58506.03,1,0,SMURFING,"Tranche 6 of 9, held below the 10,000 threshold"
352,TRANSFER,9412.36,C527822364,60274.98,50862.62,C149504082,58506.03,67918.39,1,0,SMURFING,"Tranche 7 of 9, held below the 10,000 threshold"
353,TRANSFER,9312.28,C527822364,50862.62,41550.34,C149504082,67918.39,77230.67,1,0,SMURFING,"Tranche 8 of 9, held below the 10,000 threshold"
354,TRANSFER,8923.91,C527822364,41550.34,32626.43,C149504082,77230.67,86154.58,1,0,SMURFING,"Tranche 9 of 9, held below the 10,000 threshold"
354,PAYMENT,2121.21,C892080134,122417.88,120296.67,M850909900,0.0,0.0,0,0,,
363,PAYMENT,38.2,C702555399,24380.53,24342.33,M193967462,0.0,0.0,0,0,,
366,TRANSFER,5950.5,C206543765,39739.14,33788.64,C755441412,87036.4,92986.9,0,0,,
367,CASH_IN,2252.43,C588919354,27671.03,29923.46,C223190971,0.0,0.0,0,0,,
367,CASH_IN,7503.95,C816035356,87434.57,94938.52,C320076243,0.0,0.0,0,0,,
369,PAYMENT,1261.48,C814307769,109016.26,107754.78,M373406485,0.0,0.0,0,0,,
371,CASH_IN,29880.43,C657581315,13355.52,43235.95,C670992431,0.0,0.0,0,0,,
372,TRANSFER,8047.39,C701890344,60094.99,52047.6,C252074951,55773.83,63821.22,0,0,,
374,TRANSFER,6958.29,C435891621,59097.8,52139.51,C626914428,116169.69,123127.98,0,0,,
374,CASH_OUT,11684.2,C166612797,72545.52,60861.32,M213213851,229387.68,241071.88,0,0,,
374,PAYMENT,183.15,C291377915,131388.81,131205.66,M649912210,0.0,0.0,0,0,,
376,PAYMENT,1673.2,C395169041,167871.1,166197.9,M717490761,0.0,0.0,0,0,,
380,TRANSFER,366.53,C141817839,51623.55,51257.02,C297938780,114001.73,114368.26,0,0,,
382,DEBIT,1711.34,C226330837,165530.94,163819.6,M192994840,0.0,0.0,0,0,,
383,PAYMENT,2394.88,C368666735,54372.92,51978.04,M807105275,0.0,0.0,0,0,,
387,CASH_OUT,11819.85,C940214233,170426.54,158606.69,M560555160,157288.78,169108.63,0,0,,
389,TRANSFER,8857.56,C288233267,126923.84,118066.28,C824836290,3450.41,12307.97,1,0,SMURFING,"Tranche 1 of 8, held below the 10,000 threshold"
390,TRANSFER,9843.87,C288233267,118066.28,108222.41,C824836290,12307.97,22151.84,1,0,SMURFING,"Tranche 2 of 8, held below the 10,000 threshold"
391,CASH_OUT,4537.35,C562458449,89508.46,84971.11,M969758267,347982.71,352520.06,0,0,,
391,TRANSFER,8781.38,C288233267,108222.41,99441.03,C824836290,22151.84,30933.22,1,0,SMURFING,"Tranche 3 of 8, held below the 10,000 threshold"
392,TRANSFER,9416.82,C288233267,99441.03,90024.21,C824836290,30933.22,40350.04,1,0,SMURFING,"Tranche 4 of 8, held below the 10,000 threshold"
393,TRANSFER,9182.16,C288233267,90024.21,80842.05,C824836290,40350.04,49532.2,1,0,SMURFING,"Tranche 5 of 8, held below the 10,000 threshold"
394,TRANSFER,9624.96,C288233267,80842.05,71217.09,C824836290,49532.2,59157.16,1,0,SMURFING,"Tranche 6 of 8, held below the 10,000 threshold"
394,TRANSFER,7310.56,C440218121,41331.89,34021.33,C891238167,70569.08,77879.64,0,0,,
395,TRANSFER,9525.58,C288233267,71217.09,61691.51,C824836290,59157.16,68682.74,1,0,SMURFING,"Tranche 7 of 8, held below the 10,000 threshold"
396,TRANSFER,9498.12,C288233267,61691.51,52193.39,C824836290,68682.74,78180.86,1,0,SMURFING,"Tranche 8 of 8, held below the 10,000 threshold"
400,PAYMENT,25.63,C179872642,10282.32,10256.69,M649433686,0.0,0.0,0,0,,
401,CASH_OUT,10465.12,C637669502,106593.03,96127.91,M336281468,534932.37,545397.49,0,0,,
403,TRANSFER,7824.11,C839956013,86379.47,78555.36,C860471591,13964.34,21788.45,0,0,,
403,PAYMENT,1855.65,C155951207,104179.02,102323.37,M211301232,0.0,0.0,0,0,,
403,DEBIT,54.09,C897697432,57329.07,57274.98,M955165071,0.0,0.0,0,0,,
404,CASH_OUT,8038.09,C737235796,127229.85,119191.76,M318048014,239809.71,247847.8,0,0,,
410,PAYMENT,856.01,C414852762,166590.32,165734.31,M878588340,0.0,0.0,0,0,,
422,TRANSFER,6981.48,C128895658,122210.94,115229.46,C911944815,51064.88,58046.36,0,0,,
423,TRANSFER,2258.27,C944239486,13184.41,10926.14,C573460830,83394.86,85653.13,0,0,,
424,DEBIT,44.86,C251720081,30759.92,30715.06,M786191928,0.0,0.0,0,0,,
427,PAYMENT,1720.88,C260329088,77483.33,75762.45,M523411895,0.0,0.0,0,0,,
429,TRANSFER,22440.1,C299051004,22440.1,0.0,C324962037,0.0,22440.1,1,0,MULE_NETWORK,Spoke 1 of 4 converging on sink C324962037
429,TRANSFER,40549.33,C721915967,40549.33,0.0,C324962037,22440.1,62989.43,1,0,MULE_NETWORK,Spoke 2 of 4 converging on sink C324962037
429,TRANSFER,34244.18,C338141976,34244.18,0.0,C324962037,106965.84,141210.02,1,0,MULE_NETWORK,Spoke 4 of 4 converging on sink C324962037
430,TRANSFER,43976.41,C976082672,43976.41,0.0,C324962037,62989.43,106965.84,1,0,MULE_NETWORK,Spoke 3 of 4 converging on sink C324962037
432,CASH_OUT,141210.02,C324962037,141210.02,0.0,M492390141,0.0,141210.02,1,0,MULE_NETWORK,Sink account emptied after receiving from 4 spokes
440,CASH_OUT,1457.07,C401513685,149084.48,147627.41,M862979414,675309.37,676766.44,0,0,,
442,CASH_OUT,1282.51,C721028312,123147.42,121864.91,M392956399,620363.99,621646.5,0,0,,
444,TRANSFER,1679.89,C570752124,5782.61,4102.72,C283707306,110873.19,112553.08,0,0,,
447,CASH_OUT,3537.53,C321362154,90798.23,87260.7,M900774134,778512.01,782049.54,0,0,,
449,CASH_OUT,735.95,C147949901,20361.01,19625.06,M784438947,585922.09,586658.04,0,0,,
452,PAYMENT,2184.02,C457651480,108949.12,106765.1,M635196380,0.0,0.0,0,0,,
456,PAYMENT,1059.11,C373441069,98866.87,97807.76,M352837556,0.0,0.0,0,0,,
458,PAYMENT,2149.0,C820722144,171545.77,169396.77,M373403961,0.0,0.0,0,0,,
462,PAYMENT,776.0,C320329360,107859.64,107083.64,M131433374,0.0,0.0,0,0,,
463,PAYMENT,1975.07,C878036247,9147.64,7172.57,M695370175,0.0,0.0,0,0,,
464,TRANSFER,2541.68,C621695593,139107.91,136566.23,C541969706,23874.45,26416.13,0,0,,
464,CASH_OUT,3897.6,C921654987,110734.37,106836.77,M521599359,98954.24,102851.84,0,0,,
465,CASH_IN,14971.45,C152490543,10860.57,25832.02,C712377170,0.0,0.0,0,0,,
470,PAYMENT,2037.94,C179768422,59081.96,57044.02,M905406276,0.0,0.0,0,0,,
471,PAYMENT,1865.45,C967253730,112378.94,110513.49,M840016065,0.0,0.0,0,0,,
478,PAYMENT,2167.25,C535589624,140201.87,138034.62,M110471169,0.0,0.0,0,0,,
483,PAYMENT,2349.48,C798633099,131617.23,129267.75,M707266410,0.0,0.0,0,0,,
487,CASH_IN,20519.12,C299281947,39851.16,60370.28,C297718651,0.0,0.0,0,0,,
489,CASH_OUT,3070.44,C850792666,81262.29,78191.85,M233792398,323003.8,326074.24,0,0,,
490,PAYMENT,1518.92,C951434389,38023.45,36504.53,M521728278,0.0,0.0,0,0,,
493,TRANSFER,4870.36,C427670556,37862.26,32991.9,C953853552,42073.79,46944.15,0,0,,
496,CASH_OUT,1477.96,C887728919,159236.91,157758.95,M383168574,496455.75,497933.71,0,0,,
501,TRANSFER,3961.52,C609032800,109779.43,105817.91,C408039971,56554.26,60515.78,0,0,,
503,PAYMENT,1181.48,C396749531,136045.44,134863.96,M978560710,0.0,0.0,0,0,,
